ID Key,Patient Code,PAT id(SSAM),Name,Subtype,Country,Sampling Year,Sampling Year Upper,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
AB287363,,,DR6538,B,JAPAN,2005,2005,1,9632,9667,HIV-1
AB287364,6737,13765,DR6737,B,JAPAN,2005,2005,1,9632,9705,HIV-1
AB287365,6737,13765,DR6737,B,JAPAN,2005,2005,1,9632,9699,HIV-1
AB287366,7060,13766,DR7060,B,JAPAN,2005,2005,1,9632,9690,HIV-1
AB287367,7060,13766,DR7060,B,JAPAN,2005,2005,1,9632,9690,HIV-1
AB287368,,,DR7065,B,JAPAN,2005,2005,1,9632,9700,HIV-1
AB428556,426,28458,426,B,JAPAN,2005,2005,782,9465,8723,HIV-1
AB428557,436,28459,436,B,JAPAN,2005,2005,782,9454,8690,HIV-1
AB428560,398,28462,398,B,JAPAN,2005,2005,782,9440,8701,HIV-1
DQ366659,MYKL007,19043,05MYKL007_1,33_01B,MALAYSIA,2005,2005,634,9690,9081,HIV-1
DQ366660,MYKL015,19044,05MYKL015_2,33_01B,MALAYSIA,2005,2005,634,9690,9062,HIV-1
DQ366661,MYKL031,19162,05MYKL031_1,33_01B,MALAYSIA,2005,2005,634,9690,9129,HIV-1
DQ366666,MYKL043,19049,05MYKL043_1,01B,MALAYSIA,2005,2005,634,9690,9084,HIV-1
DQ369982,SK245,29891,05ZASK245B1,C,SOUTH AFRICA,2005,2005,567,9615,9079,HIV-1
DQ369983,SK246,29822,05ZASK246B1,C,SOUTH AFRICA,2005,2005,567,9615,9092,HIV-1
DQ369991,SK240,29759,05ZAPSK240B1,C,SOUTH AFRICA,2005,2005,567,9615,9020,HIV-1
DQ369992,SK244,29861,05ZASK244B1,C,SOUTH AFRICA,2005,2005,567,9615,9006,HIV-1
DQ369994,SK247,29769,05ZASK247B1,C,SOUTH AFRICA,2005,2005,567,9615,9052,HIV-1
DQ396372,SK243,29756,05ZASK243B1,C,SOUTH AFRICA,2005,2005,567,9615,9077,HIV-1
DQ400856,04RU001,19253,04RU001,06_cpx,RUSSIAN FEDERATION,2005,2005,369,9603,9224,HIV-1
DQ672623,SG1,11126,SG1,B,ITALY,2005,2005,212,9097,8805,HIV-1
DQ837381,HP-21(CSR),2747,05CSR3,B,SOUTH KOREA,2005,2005,1,9472,9549,HIV-1
DQ859178,FJ051,16598,FJ051,01_AE,CHINA,2005,2005,1,9719,9733,HIV-1
DQ859179,FJ053,16599,FJ053,01_AE,CHINA,2005,2005,1,9719,9745,HIV-1
DQ886037,L8249,30572,L8249,B,UNITED STATES,2005,2005,776,9606,8864,HIV-1
DQ990880,hp3,23342,05CNHB_hp3,B,CHINA,2005,2005,1,9632,9641,HIV-1
EF036527,Fj055,22066,Fj055,01_AE,CHINA,2005,2005,1,9719,9769,HIV-1
EF036528,Fj052,22067,Fj052,01_AE,CHINA,2005,2005,1,9719,9732,HIV-1
EF036529,Fj056,22068,Fj056,01_AE,CHINA,2005,2005,1,9719,9734,HIV-1
EF036530,Fj057,22069,Fj057,01_AE,CHINA,2005,2005,1,9719,9714,HIV-1
EF036534,Fj065,22073,Fj065,01_AE,CHINA,2005,2005,1,9719,9695,HIV-1
EF036535,Fj066,22074,Fj066,01_AE,CHINA,2005,2005,1,9719,9744,HIV-1
EF368370,XJDC,23096,XJDC6441,07_BC,CHINA,2005,2005,654,9596,8926,HIV-1
EF368371,XJN0084,23095,XJN0084,07_BC,CHINA,2005,2005,654,9596,8902,HIV-1
EF368372,XJDC6431-2,23097,XJDC6431_2,07_BC,CHINA,2005,2005,654,9596,9011,HIV-1
EF420986,XJDC6441,28469,pXJDC6441-2,07_BC,CHINA,2005,2005,623,9596,8957,HIV-1
EU074781,X138,27219,X138-7-PI-RNA,BG,SPAIN,2005,2005,595,9507,8866,HIV-1
EU074782,X138,27219,X138-8,BG,SPAIN,2005,2005,566,9510,8926,HIV-1
EU170136,,,luBF_13_05,42_BF,LUXEMBOURG,2005,2005,455,9613,9055,HIV-1
EU170143,,,luBF_17_05,42_BF,LUXEMBOURG,2005,2005,456,9621,9149,HIV-1
EU170144,,,luBF_14_05,42_BF,LUXEMBOURG,2005,2005,455,9630,9151,HIV-1
EU170153,,,luBF_16_05,42_BF,LUXEMBOURG,2005,2005,455,9624,9126,HIV-1
EU735537,,,05BRRJ055,40_BF,BRAZIL,2005,2005,523,9527,9042,HIV-1
EU735539,,,05BRRJ200,40_BF,BRAZIL,2005,2005,463,9532,9105,HIV-1
EU786670,P0962_ARP1077,32944,P962,G,SPAIN,2005,2005,561,9509,9041,HIV-1
EU786672,1890,32947,X1890,B,SPAIN,2005,2005,558,9457,8854,HIV-1
FJ195088,1084,49540,BREPM1084,B,BRAZIL,2005,2005,596,9534,8920,HIV-1
FJ195089,1093,49538,BREPM1093,B,BRAZIL,2005,2005,545,9538,8987,HIV-1
FJ195091,1081,49539,BREPM1081,B,BRAZIL,2005,2005,521,9538,8988,HIV-1
FJ213780,4752,35101,UY05_4752,38_BF1,URUGUAY,2005,2005,572,9505,8944,HIV-1
FJ388890,CY018,32509,CY018,B,CYPRUS,2005,2005,790,8930,8224,HIV-1
FJ388891,CY020,32502,CY020,B,CYPRUS,2005,2005,790,8930,8185,HIV-1
FJ388892,CY021,32517,CY021,A1,CYPRUS,2005,2005,790,8930,8198,HIV-1
FJ388893,CY022,32478,CY022,A1,CYPRUS,2005,2005,790,8930,8201,HIV-1
FJ388894,CY023,32479,CY023,A1,CYPRUS,2005,2005,790,8930,8200,HIV-1
FJ388895,CY028,32492,CY028,B,CYPRUS,2005,2005,790,8930,8166,HIV-1
FJ388896,CY029,32494,CY029,02B,CYPRUS,2005,2005,790,8930,8198,HIV-1
FJ388898,CY032,32489,CY032,B,CYPRUS,2005,2005,790,8930,8156,HIV-1
FJ388899,CY037,32504,CY037,B,CYPRUS,2005,2005,790,8930,8235,HIV-1
FJ388901,CY040,32472,CY040,C,CYPRUS,2005,2005,790,8930,8191,HIV-1
FJ388902,CY048,29313,CY048,02_AG,CYPRUS,2005,2005,790,8930,8146,HIV-1
FJ388903,CY051,32490,CY051,A1,CYPRUS,2005,2005,790,8930,8171,HIV-1
FJ388904,CY055,32503,CY055,B,CYPRUS,2005,2005,790,8930,8158,HIV-1
FJ388905,CY056,32482,CY056,B,CYPRUS,2005,2005,790,8930,8188,HIV-1
FJ388906,CY057,29282,CY057,A1,CYPRUS,2005,2005,790,8930,8174,HIV-1
FJ388908,CY063,32488,CY063,DG,CYPRUS,2005,2005,790,8930,8110,HIV-1
FJ388909,CY064,32484,CY064,A1,CYPRUS,2005,2005,790,8930,8211,HIV-1
FJ388910,CY065,32491,CY065,B,CYPRUS,2005,2005,790,8930,8143,HIV-1
FJ388911,CY067,32487,CY067,B,CYPRUS,2005,2005,790,8930,8158,HIV-1
FJ388912,CY068,32506,CY068,B,CYPRUS,2005,2005,790,8930,8203,HIV-1
FJ388913,CY069,32475,CY069,C,CYPRUS,2005,2005,790,8930,8187,HIV-1
FJ388914,CY072,32521,CY072,B,CYPRUS,2005,2005,790,8930,8149,HIV-1
FJ388915,CY074,32498,CY074,B,CYPRUS,2005,2005,790,8930,8174,HIV-1
FJ388916,CY075,32480,CY075,B,CYPRUS,2005,2005,790,8930,8212,HIV-1
FJ388917,CY081,32515,CY081,04_cpx,CYPRUS,2005,2005,790,8930,8214,HIV-1
FJ388918,CY087,32500,CY087,B,CYPRUS,2005,2005,790,8930,8212,HIV-1
FJ388919,CY088,32520,CY088,B,CYPRUS,2005,2005,790,8930,8188,HIV-1
FJ388920,CY089,29300,CY089,B,CYPRUS,2005,2005,790,8930,8194,HIV-1
FJ388921,CY090,32510,CY090,U,CYPRUS,2005,2005,790,8930,8149,HIV-1
FJ388923,CY093,32518,CY093,B,CYPRUS,2005,2005,790,8930,8181,HIV-1
FJ388924,CY097,32463,CY097,B,CYPRUS,2005,2005,790,8930,8182,HIV-1
FJ388925,CY106,32486,CY106,A1,CYPRUS,2005,2005,790,8930,8170,HIV-1
FJ388926,CY107,32507,CY107,A1B,CYPRUS,2005,2005,790,8930,8211,HIV-1
FJ388927,CY110,32522,CY110,B,CYPRUS,2005,2005,790,8930,8130,HIV-1
FJ388928,CY111,29310,CY111,A1U,CYPRUS,2005,2005,790,8930,8132,HIV-1
FJ388929,CY112,29307,CY112,A1U,CYPRUS,2005,2005,790,8930,8126,HIV-1
FJ388930,CY113,32485,CY113,B,CYPRUS,2005,2005,790,8930,8222,HIV-1
FJ388931,CY120,32468,CY120,B,CYPRUS,2005,2005,790,8930,8245,HIV-1
FJ388932,CY121,32470,CY121,A1,CYPRUS,2005,2005,790,8930,8195,HIV-1
FJ388933,CY124,32477,CY124,B,CYPRUS,2005,2005,790,8930,8161,HIV-1
FJ388934,CY130,32508,CY130,B,CYPRUS,2005,2005,790,8930,8197,HIV-1
FJ388935,CY131,32481,CY131,B,CYPRUS,2005,2005,790,8930,8209,HIV-1
FJ388936,CY132,32483,CY132,B,CYPRUS,2005,2005,790,8930,8134,HIV-1
FJ388937,CY137,32516,CY137,B,CYPRUS,2005,2005,790,8930,8233,HIV-1
